,# correlated features
PF3D7_1016500.e1s1_3163,1
PF3D7_1014200.2o2_2086,1
PF3D7_1014100.s2_1165,1
PF3D7_1014100.s1_841,1
PF3D7_1012700.e1s1_3765,1
PF3D7_1011500.1o1_3275,1
PF3D7_1011300.1o1_765,1
PF3D7_1009800.e1s2_2145,1
PF3D7_1009800.e1s1_2463,1
PF3D7_1009400.iso1.exon1.amp1_420,1
PF3D7_1009100.1o1_1400,1
PF3D7_1008500.e3s1_1529,1
PF3D7_1008500.e2s1_904,1
PF3D7_1008100.s4_830,1
PF3D7_1008100.s3_1478,1
PF3D7_1008100.s1_3428,1
PF3D7_1007000.iso1.exon8.amp1_631,1
PF3D7_1005800.1o2_2638,1
PF3D7_1004600.2o6_4985,1
PF3D7_1004300.iso1.exon1.amp2_2505,1
PF3D7_1004300.iso1.exon1.amp1_4309,1
PF3D7_1004200.e2s3_3833,1
PF3D7_1004200.e2s2_1571,1
PF3D7_1003600.e1s1_4785,1
PF3D7_1003400.iso1.exon1.amp3_seg2_2299,1
PF3D7_1002000.2o2_1714,1
PF3D7_1001900.2o2_2973,1
PF3D7_1001800.2o2_1977,1
PF3D7_1001700.2o2_4910,1
PF3D7_1001500.1o1_2623,1
PF3D7_1001300.2o2_1681,1
PF3D7_1001000.e2s1_3804,1
PF3D7_1000600.iso1.exon1.amp1_3892,1
PF3D7_1000500.iso1.exon3.amp1_4465,1
PF3D7_1000400.iso1.exon1.amp1_1864,1
PF3D7_1000200.iso1.exon1.amp1_1575,1
PF3D7_1000100.iso1.exon2.amp1_3908,1
PF3D7_0937800.iso1.exon2.amp2_1943,1
PF3D7_0937800.iso1.exon2.amp1_1654,1
PF3D7_0937800.iso1.exon1.amp1_2169,1
PF3D7_0937700.iso1.exon2.amp1_713,1
PF3D7_0937600.iso1.exon2.amp1_3322,1
PF3D7_0937500.iso1.exon1.amp1_4176,1
PF3D7_0937400.iso1.exon2.amp1_1296,1
PF3D7_0937300.iso1.exon2.amp1_3309,1
PF3D7_0937100.2o2_3289,1
PF3D7_0937000.2o2_1996,1
PF3D7_0936900.3o3_2328,1
PF3D7_0936800.e2s1_901,1
PF3D7_0936600.2o2_2012,1
PF3D7_0936500.iso1.exon1.amp1_973,1
PF3D7_0936400.2o2_4899,1
PF3D7_0936300.2o2_3948,1
PF3D7_0936200.2o2_354,1
PF3D7_0936100.1o1_353,1
PF3D7_0936000.iso1.exon2.amp1_1502,1
PF3D7_0935900.e2s1_5133,1
PF3D7_0935900.e1s1_4430,1
PF3D7_0935700.2o2_2960,1
PF3D7_0935600.2o2_2696,1
PF3D7_0935600.1o2_3662,1
PF3D7_0935500.2o2_3956,1
PF3D7_0932100.2o5_5018,1
PF3D7_0930800.e2s4_4067,1
PF3D7_0930800.e2s2_4709,1
PF3D7_0930300.s2_4726,1
PF3D7_0930300.s1_5044,1
PF3D7_0928400.1o1_4900,1
PF3D7_0927200.e4s2_279,1
PF3D7_0927200.e3s1_4763,1
PF3D7_0926600.1o3_806,1
PF3D7_0924500.1o4_4376,1
PF3D7_0921200.2o6_4038,1
PF3D7_0917300.1o1_2014,1
PF3D7_0917200.2o2_53,1
PF3D7_0917200.1o2_377,1
PF3D7_0912200.1o1_2676,1
PF3D7_0911300.e2_3762,1
PF3D7_0911300.e1s4_2454,1
PF3D7_0911300.e1s2_3750,1
PF3D7_0911300.e1s1_3426,1
PF3D7_0909100.1o1_121,1
PF3D7_0908800.1o2_3994,1
PF3D7_0908300.iso2.exon4.amp1_334,1
PF3D7_0908300.iso2.exon2.amp1_3507,1
PF3D7_0908100.1o4_1046,1
PF3D7_0906600.1o1_2393,1
PF3D7_0906500.1o1_410,1
PF3D7_0906200.1o1_3357,1
PF3D7_0903300.iso1.exon1.amp4_1038,1
PF3D7_0903300.iso1.exon1.amp3_3123,1
PF3D7_0903300.iso1.exon1.amp1_2545,1
PF3D7_0902700.3o3_2026,1
PF3D7_0901800.2o2_4591,1
PF3D7_0901700.2o2_1979,1
PF3D7_0901400.iso1.exon2.amp1_711,1
PF3D7_0901300.iso1.exon2.amp1_1859,1
PF3D7_0901200.iso1.exon1.amp1_2075,1
PF3D7_0901000.iso1.exon1.amp1_3010,1
PF3D7_0900700.iso1.exon1.amp1_2726,1
PF3D7_0900600.iso1.exon1.amp1_424,1
PF3D7_0900500.iso1.exon1.amp1_4464,1
PF3D7_0900400.iso1.exon2.amp1_1867,1
PF3D7_0900300.iso1.exon1.amp1_1001,1
PF3D7_0900200.e2s1_4790,1
PF3D7_0900100.iso1.exon2.amp1_151,1
PF3D7_0900100.iso1.exon1.amp1_4261,1
PF3D7_0833500.iso1.exon3.amp1_3614,1
PF3D7_0833500.iso1.exon2.amp1_2521,1
PF3D7_0833400.iso1.exon3.amp1_4185,1
PF3D7_0833300.iso1.exon1.amp1_1870,1
PF3D7_0833000.iso1.exon3.amp1_3881,1
PF3D7_0832800.iso1.exon3.amp1_1854,1
PF3D7_0832700.iso1.exon3.amp1_949,1
PF3D7_0832500.iso1.exon3.amp1_1861,1
PF3D7_0832300.2o2_3619,1
PF3D7_0832200.iso2.exon3.amp1_685,1
PF3D7_0832200.2.2o2_366,1
PF3D7_0831500.iso1.exon3.amp1_1846,1
PF3D7_0831500.iso1.exon2.amp1_2951,1
PF3D7_0831400.2o2_4281,1
PF3D7_0831300.2o2_3047,1
PF3D7_0831100.iso1.exon1.amp2_3348,1
PF3D7_0831100.iso1.exon1.amp1_3674,1
PF3D7_0831000.2o2_735,1
PF3D7_0830900.2o2_678,1
PF3D7_0830800.iso1.exon1.amp2_4505,1
PF3D7_0830800.iso1.exon1.amp1_1373,1
PF3D7_0830600.2o2_1704,1
PF3D7_0829600.e2_1817,1
PF3D7_0829600.1o1_4565,1
PF3D7_0829000.e2s2_3445,1
PF3D7_0829000.e2s1_3121,1
PF3D7_0829000.e1_523,1
PF3D7_0829000.1o2_2099,1
PF3D7_0827700.1o1_786,1
PF3D7_0824700.iso1.exon4.amp1_2354,1
PF3D7_0824700.iso1.exon15.amp1_621,1
PF3D7_0824700.iso1.exon14.amp1_613,1
PF3D7_0823500.1o1_1393,1
PF3D7_0822200.3o4_5019,1
PF3D7_0822200.2o4_4377,1
PF3D7_0820600.3o3_1698,1
PF3D7_0820600.2o3_3648,1
PF3D7_0820600.1o3_1374,1
PF3D7_0818500.e2_851,1
PF3D7_0818500.2o2_1980,1
PF3D7_0818100.1o1_104,1
PF3D7_0812100.e1s3_4191,1
PF3D7_0812100.e1s2_4518,1
PF3D7_0812100.e1s1_4842,1
PF3D7_0810400.1o1_105,1
PF3D7_0809100.iso1.exon2.amp2_seg2_2600,1
PF3D7_0809100.iso1.exon2.amp1_1077,1
PF3D7_0809100.iso1.exon1.amp1_4184,1
PF3D7_0808900.iso1.exon1.amp1_4458,1
PF3D7_0808700.iso1.exon2.amp1_2238,1
PF3D7_0808600.e2s1_4139,1
PF3D7_0808600.e1s2_1602,1
